 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Município e Ano atendimento
Lista Morb  CID-10: Diarréia e gastroenterite origem infecc presumível, Outras doenças infecciosas e parasitárias
Período:2008-2022
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"320010 AFONSO CLAUDIO";6;175;201;156;130;114;123;75;70;39;41;55;17;10;17;15;1244
"320013 AGUIA BRANCA";-;4;8;2;-;1;3;1;-;1;1;-;-;-;-;2;23
"320016 AGUA DOCE DO NORTE";-;2;10;5;3;6;5;4;7;5;7;4;4;4;1;1;68
"320020 ALEGRE";-;202;128;150;190;144;139;98;41;39;35;22;18;16;11;12;1245
"320030 ALFREDO CHAVES";-;3;3;4;2;2;1;3;5;4;5;3;4;4;1;4;48
"320035 ALTO RIO NOVO";-;7;3;5;4;12;7;7;6;4;3;-;5;4;1;3;71
"320040 ANCHIETA";-;92;102;112;92;2;1;3;1;46;37;44;69;41;14;10;666
"320050 APIACA";-;8;14;20;10;21;23;7;8;9;23;19;19;12;6;3;202
"320060 ARACRUZ";1;45;52;56;63;65;21;18;9;10;28;59;35;22;34;20;538
"320070 ATILIO VIVACQUA";1;6;4;5;4;10;5;4;8;7;10;5;9;2;3;2;85
"320080 BAIXO GUANDU";5;150;158;102;81;103;143;193;126;194;94;127;114;23;26;30;1669
"320090 BARRA DE SAO FRANCISCO";2;21;24;19;28;13;15;14;28;14;10;10;8;7;8;8;229
"320100 BOA ESPERANCA";1;65;176;216;161;195;208;252;247;310;242;272;241;37;42;69;2734
"320110 BOM JESUS DO NORTE";1;22;15;14;25;21;19;14;10;16;13;19;28;18;5;6;246
"320115 BREJETUBA";1;20;9;5;4;8;7;5;7;5;4;8;6;1;6;1;97
"320120 CACHOEIRO DE ITAPEMIRIM";8;156;132;229;171;232;249;347;229;249;171;146;197;74;67;41;2698
"320130 CARIACICA";10;273;253;73;44;87;63;86;75;116;93;114;91;68;76;60;1582
