 Morbidade Hospitalar do SUS - por local de residência - Espírito Santo
Internações por Município e Ano atendimento
Lista Morb  CID-10: Leptospirose icterohemorrágica, Outras formas de leptospirose, Leptospirose não especificada, Esquistossomose, Outras helmintíases
Período:2008-2022
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"320010 AFONSO CLAUDIO";-;-;-;1;-;2;1;8;2;2;3;3;6;7;3;9;47
"320013 AGUIA BRANCA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"320020 ALEGRE";-;-;-;1;-;2;-;2;1;-;-;-;1;-;-;-;7
"320030 ALFREDO CHAVES";-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;4
"320035 ALTO RIO NOVO";-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"320040 ANCHIETA";-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;4
"320060 ARACRUZ";-;-;-;1;-;1;-;2;-;-;-;2;-;-;-;-;6
"320070 ATILIO VIVACQUA";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"320080 BAIXO GUANDU";-;-;3;1;-;-;-;4;-;-;1;3;-;-;-;-;12
"320090 BARRA DE SAO FRANCISCO";-;-;-;1;2;-;-;-;-;-;-;-;-;1;1;-;5
"320100 BOA ESPERANCA";1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"320110 BOM JESUS DO NORTE";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;4
"320115 BREJETUBA";1;3;1;-;1;-;1;-;-;1;1;-;1;-;-;-;10
"320120 CACHOEIRO DE ITAPEMIRIM";-;3;4;3;5;9;4;4;7;6;3;4;3;1;-;7;63
"320130 CARIACICA";-;7;4;3;5;2;1;2;1;5;2;3;3;6;1;4;49
"320140 CASTELO";-;7;30;1;6;3;5;2;3;6;5;2;5;27;-;3;105
"320150 COLATINA";-;-;-;3;-;1;-;5;-;3;-;1;-;-;1;3;17
"320170 CONCEICAO DO CASTELO";-;-;-;1;2;-;-;-;1;-;1;1;1;-;-;-;7
"320180 DIVINO DE SAO LOURENCO";-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;3
"320190 DOMINGOS MARTINS";-;-;1;3;3;2;1;-;1;3;-;-;4;2;-;2;22
"320220 FUNDAO";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"320230 GUACUI";-;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;4
"320240 GUARAPARI";-;3;1;-;-;2;1;-;3;5;-;-;1;-;-;1;17
"320245 IBATIBA";1;-;-;2;3;-;-;-;2;1;2;1;-;-;2;2;16
"320250 IBIRACU";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"320255 IBITIRAMA";-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;3
"320260 ICONHA";-;1;-;1;2;-;-;-;-;-;-;2;-;-;-;-;6
"320265 IRUPI";1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3
"320270 ITAGUACU";-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;3
"320280 ITAPEMIRIM";-;-;-;-;-;1;1;-;1;1;-;2;-;-;-;-;6
"320290 ITARANA";-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;5
"320300 IUNA";-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;-;5
